年月,旬だから食べよう,コスパ最強,今がお得,値上がり注意
2025年6月,わらさ、まあじ、まぐろ（国内）、かつお、活またい、またい（養殖）、するめいか、またい（天然）、かき,さば、またい（天然）、活またい、するめいか,まぐろ（国内）、さば、冷ほんまぐろ、またい（天然）,その他冷さけ、はまち（養殖）、活かんぱち
2025年7月,わらさ、まあじ、するめいか、かき、活かんぱち,するめいか、活またい、またい（天然）、わらさ,するめいか、まぐろ（国内）、輸入さけ・ます、きんめたい,その他冷さけ、生またら、はまち（養殖）、冷ほたて貝
2025年8月,わらさ、まあじ、かつお、するめいか、かき、いなだ、活かんぱち,するめいか、活またい、わらさ、冷きわだ,するめいか、輸入さけ・ます、まぐろ（国内）、活またい,むきかき、生またら、活かんぱち、はまち（養殖）
2025年9月,さんま、わらさ、かつお、さば、するめいか、いなだ、かき、活かんぱち,するめいか、さんま、いなだ、わらさ,輸入さけ・ます、するめいか,むきかき、冷ほたて貝、はまち（養殖）、活かんぱち
2025年10月,さんま、わらさ、さば、かつお、するめいか、かき、いなだ,するめいか、まあじ、ぶり,輸入さけ・ます,冷きわだ、冷ほたて貝、はまち（養殖）、さば
2025年11月,さんま、生またら、ぶり、さば、きんめたい、かき、むきかき,さんま、まあじ、生またら、またい（天然）,さんま、輸入さけ・ます、まあじ,はまち（養殖）、冷ほたて貝、かつお、ぶり
2025年12月,生またら、さば、ぶり、むきかき、かき、きんめたい,なし,なし,さば、ぶり、かつお、わらさ
2026年1月,生またら、きんめたい,なし,輸入さけ・ます,いなだ、さば、わらさ、ぶり
2026年2月,まいわし、生またら、ぶり、きんめたい,なし,輸入さけ・ます,わらさ、いなだ、冷めばち、冷からすかれい
2026年3月,まいわし、またい（養殖）、活またい、はまち（養殖）、またい（天然）、生またら,ぶり,輸入さけ・ます,いなだ、冷さば、冷からすかれい、冷きわだ
2026年4月,まいわし、わらさ、かつお、活またい、またい（養殖）、またい（天然）、はまち（養殖）,またい（天然）、ぶり、まあじ、まいわし,その他冷輸入えび、輸入さけ・ます、またい（天然）、まぐろ（国内）,冷めばち、冷からすかれい、冷さば、冷きわだ
2026年5月,まあじ、わらさ、まぐろ（国内）、かつお、まいわし、活またい、またい（養殖）、またい（天然）、はまち（養殖）,またい（天然）、まあじ、ぶり、するめいか,輸入さけ・ます、またい（天然）、まぐろ（国内）,冷からすかれい、冷めばち、冷さば、その他冷さけ
