品目名称,最新年,最新月,最新月平均単価,全期間平均単価,時系列Zスコア,現在価格水準
冷からすかれい,2026,5,2318.6,1528.2,3.16,高め
冷めばち,2026,5,1687.7,1220.2,2.77,高め
冷さば,2026,5,1321.9,885.9,2.47,高め
冷たこ,2026,5,2039.9,1748.9,2.2,高め
その他冷さけ,2026,5,2736.8,1835.4,2.16,高め
またい（養殖）,2026,5,1369.1,1221.0,2.0,高め
冷きわだ,2026,5,1675.5,1100.3,1.94,高め
いなだ,2026,5,622.2,410.4,1.82,高め
生またら,2026,5,1340.5,1049.6,1.53,高め
冷印度まぐろ,2026,5,2477.7,2175.4,1.44,高め
冷ほんまぐろ,2026,5,3924.3,3484.1,1.35,高め
活かんぱち,2026,5,2367.6,2106.7,1.31,高め
はまち（養殖）,2026,5,2233.9,1722.7,1.26,高め
冷ほたて貝,2026,5,4419.6,3383.5,1.12,高め
冷ぎんさけ,2026,5,1365.4,1217.5,1.04,高め
冷むきえび,2026,5,1567.0,1492.6,0.87,高め
まいわし,2026,5,507.0,455.8,0.65,高め
冷ぎんたら,2026,5,1569.6,1481.9,0.6,高め
さば,2026,5,623.6,586.5,0.43,平均的
かき,2026,5,1132.3,1089.1,0.41,平均的
活またい,2026,5,1288.5,1280.5,0.26,平均的
かつお,2026,5,881.2,788.1,0.24,平均的
わらさ,2026,5,517.4,488.1,0.17,平均的
するめいか,2026,5,1193.0,1211.5,-0.1,平均的
むきかき,2026,5,2004.5,2105.5,-0.13,平均的
その他冷輸入えび,2026,5,1636.9,1647.4,-0.14,平均的
きんめたい,2026,5,2245.0,2330.1,-0.22,平均的
ぶり,2026,5,728.5,857.5,-0.28,平均的
まあじ,2026,5,676.8,711.8,-0.42,平均的
まぐろ（国内）,2026,5,3393.2,3797.9,-0.72,安め
またい（天然）,2026,5,788.7,1022.7,-1.23,安め
さんま,2026,5,832.2,1070.2,-1.29,安め
輸入さけ・ます,2026,5,1873.1,2203.3,-1.3,安め
