品目名称,年,月,取扱数量,平均単価
いなだ,2023,1,257361,383.8
いなだ,2023,2,244812,410.0
いなだ,2023,3,138696,452.9
いなだ,2023,4,65944,474.4
いなだ,2023,5,87542,433.2
いなだ,2023,6,54552,530.3
いなだ,2023,7,134949,481.9
いなだ,2023,8,336347,374.1
いなだ,2023,9,402884,364.6
いなだ,2023,10,464564,318.2
いなだ,2023,11,600235,384.5
いなだ,2023,12,197994,418.5
いなだ,2024,1,174544,476.8
いなだ,2024,2,105506,498.1
いなだ,2024,3,73771,554.8
いなだ,2024,4,91753,434.7
いなだ,2024,5,142722,334.8
いなだ,2024,6,94442,452.7
いなだ,2024,7,200278,429.9
いなだ,2024,8,315022,368.9
いなだ,2024,9,476796,310.7
いなだ,2024,10,334092,328.0
いなだ,2024,11,268365,343.1
いなだ,2024,12,57847,509.5
いなだ,2025,1,42934,530.7
いなだ,2025,2,52824,706.2
いなだ,2025,3,55156,594.1
いなだ,2025,4,32755,605.9
いなだ,2025,5,80388,451.1
いなだ,2025,6,57710,500.8
いなだ,2025,7,54322,513.4
いなだ,2025,8,160238,437.0
いなだ,2025,9,217825,369.6
いなだ,2025,10,80492,404.8
いなだ,2025,11,78165,474.5
いなだ,2025,12,66170,592.1
いなだ,2026,1,44586,735.6
いなだ,2026,2,56422,717.4
いなだ,2026,3,45146,738.7
いなだ,2026,4,70455,595.2
いなだ,2026,5,60899,622.2
かき,2023,1,193488,849.1
かき,2023,2,197007,882.6
かき,2023,3,198001,955.3
かき,2023,4,199237,959.2
かき,2023,5,228410,923.0
かき,2023,6,217674,971.2
かき,2023,7,246873,952.4
かき,2023,8,210747,1041.6
かき,2023,9,189385,1043.1
かき,2023,10,197854,1002.7
かき,2023,11,221243,913.8
かき,2023,12,247697,989.0
かき,2024,1,154454,1095.4
かき,2024,2,169689,1092.3
かき,2024,3,174460,1126.4
かき,2024,4,162860,1186.0
かき,2024,5,186699,1144.1
かき,2024,6,180409,1112.3
かき,2024,7,215008,1094.6
かき,2024,8,203081,1154.4
かき,2024,9,174405,1192.9
かき,2024,10,175164,1181.3
かき,2024,11,199427,1065.2
かき,2024,12,202145,1209.4
かき,2025,1,136543,1222.8
かき,2025,2,137911,1228.8
かき,2025,3,147738,1195.6
かき,2025,4,156930,1177.8
かき,2025,5,162196,1138.9
かき,2025,6,166495,1143.1
かき,2025,7,190316,1127.7
かき,2025,8,197938,1119.7
かき,2025,9,171009,1216.6
かき,2025,10,159824,1225.1
かき,2025,11,148374,1192.1
かき,2025,12,182345,1197.2
かき,2026,1,138801,1139.8
かき,2026,2,123130,1188.0
かき,2026,3,121480,1174.4
かき,2026,4,134486,1215.6
かき,2026,5,165304,1132.3
かつお,2023,1,25724,1800.7
かつお,2023,2,98815,1130.0
かつお,2023,3,616159,772.4
かつお,2023,4,873619,702.6
かつお,2023,5,878867,763.9
かつお,2023,6,920322,662.4
かつお,2023,7,989630,573.5
かつお,2023,8,848272,652.8
かつお,2023,9,814541,662.6
かつお,2023,10,767834,688.3
かつお,2023,11,213139,1284.6
かつお,2023,12,63593,1871.7
かつお,2024,1,49043,1610.2
かつお,2024,2,264814,885.0
かつお,2024,3,428407,1012.8
かつお,2024,4,645052,854.7
かつお,2024,5,879707,650.8
かつお,2024,6,1037609,551.9
かつお,2024,7,1075970,648.1
かつお,2024,8,1120931,534.2
かつお,2024,9,992165,618.5
かつお,2024,10,774899,703.3
かつお,2024,11,342895,962.2
かつお,2024,12,86845,1587.9
かつお,2025,1,34604,1602.0
かつお,2025,2,53632,1379.8
かつお,2025,3,314589,1044.1
かつお,2025,4,460650,1003.0
かつお,2025,5,874992,761.8
かつお,2025,6,487519,1076.3
かつお,2025,7,558526,925.2
かつお,2025,8,503242,931.8
かつお,2025,9,505551,986.0
かつお,2025,10,357826,1153.8
かつお,2025,11,181629,1441.8
かつお,2025,12,48238,1718.2
かつお,2026,1,19862,1696.1
かつお,2026,2,111105,1150.4
かつお,2026,3,404241,1011.4
かつお,2026,4,649143,907.8
かつお,2026,5,730930,881.2
きんめたい,2023,1,134584,2461.1
きんめたい,2023,2,219561,2080.0
きんめたい,2023,3,318237,1743.3
きんめたい,2023,4,202130,2080.8
きんめたい,2023,5,240346,2008.0
きんめたい,2023,6,224523,1982.0
きんめたい,2023,7,192890,2111.2
きんめたい,2023,8,146981,2340.3
きんめたい,2023,9,175124,1988.1
きんめたい,2023,10,142176,2389.4
きんめたい,2023,11,146183,2339.2
きんめたい,2023,12,162380,2492.1
きんめたい,2024,1,75523,3289.1
きんめたい,2024,2,149177,2443.3
きんめたい,2024,3,131350,2873.6
きんめたい,2024,4,205644,2036.5
きんめたい,2024,5,202874,2067.0
きんめたい,2024,6,193728,2100.2
きんめたい,2024,7,136099,2556.7
きんめたい,2024,8,149528,2496.0
きんめたい,2024,9,127136,2351.7
きんめたい,2024,10,116438,2776.0
きんめたい,2024,11,106548,3035.5
きんめたい,2024,12,111915,3325.2
きんめたい,2025,1,119882,2704.1
きんめたい,2025,2,104882,3197.6
きんめたい,2025,3,179635,2407.9
きんめたい,2025,4,173279,2376.9
きんめたい,2025,5,169256,2265.2
きんめたい,2025,6,192161,2109.8
きんめたい,2025,7,241164,1771.6
きんめたい,2025,8,143654,2389.7
きんめたい,2025,9,137893,2283.7
きんめたい,2025,10,121670,2770.7
きんめたい,2025,11,151419,2280.7
きんめたい,2025,12,155526,2741.0
きんめたい,2026,1,124013,2874.3
きんめたい,2026,2,150311,2422.7
きんめたい,2026,3,208623,2315.8
きんめたい,2026,4,151279,2665.1
きんめたい,2026,5,186796,2245.0
さば,2023,1,498427,638.7
さば,2023,2,589489,565.0
さば,2023,3,580204,590.2
さば,2023,4,470253,561.7
さば,2023,5,472431,536.7
さば,2023,6,556102,455.5
さば,2023,7,518057,508.4
さば,2023,8,451769,534.0
さば,2023,9,437109,571.5
さば,2023,10,491594,591.6
さば,2023,11,544860,575.0
さば,2023,12,454099,662.4
さば,2024,1,537022,603.3
さば,2024,2,565360,546.9
さば,2024,3,536643,587.3
さば,2024,4,524711,521.5
さば,2024,5,534773,470.1
さば,2024,6,496339,506.9
さば,2024,7,492623,538.3
さば,2024,8,384967,593.7
さば,2024,9,488539,556.2
さば,2024,10,529953,575.8
さば,2024,11,538765,578.7
さば,2024,12,475171,654.8
さば,2025,1,478207,613.3
さば,2025,2,456530,660.2
さば,2025,3,497466,614.3
さば,2025,4,585095,511.6
さば,2025,5,526858,518.9
さば,2025,6,535244,450.8
さば,2025,7,436440,566.9
さば,2025,8,387537,598.0
さば,2025,9,415534,617.1
さば,2025,10,388599,708.1
さば,2025,11,426897,650.6
さば,2025,12,308757,872.1
さば,2026,1,342201,818.3
さば,2026,2,413512,699.6
さば,2026,3,395722,707.8
さば,2026,4,386553,654.9
さば,2026,5,410405,623.6
さんま,2023,1,45535,911.4
さんま,2023,2,30531,909.6
さんま,2023,3,22915,956.8
さんま,2023,4,23554,947.1
さんま,2023,5,23173,961.4
さんま,2023,6,19305,945.1
さんま,2023,7,23010,924.7
さんま,2023,8,77965,1237.4
さんま,2023,9,638208,1271.6
さんま,2023,10,690354,1376.9
さんま,2023,11,259260,1448.4
さんま,2023,12,66594,953.7
さんま,2024,1,22452,1025.2
さんま,2024,2,21941,1036.5
さんま,2024,3,22784,1014.1
さんま,2024,4,22428,1030.5
さんま,2024,5,19772,1006.6
さんま,2024,6,19106,1064.3
さんま,2024,7,17133,1028.9
さんま,2024,8,341488,1360.3
さんま,2024,9,881776,1242.0
さんま,2024,10,1147326,954.0
さんま,2024,11,790785,773.6
さんま,2024,12,67907,754.4
さんま,2025,1,37610,811.9
さんま,2025,2,31034,850.2
さんま,2025,3,27474,832.7
さんま,2025,4,21982,855.0
さんま,2025,5,20888,883.7
さんま,2025,6,20715,854.6
さんま,2025,7,22300,1177.5
さんま,2025,8,709906,1303.7
さんま,2025,9,2802038,997.4
さんま,2025,10,1589164,1113.1
さんま,2025,11,715088,808.7
さんま,2025,12,86202,710.6
さんま,2026,1,54365,820.6
さんま,2026,2,44632,810.5
さんま,2026,3,42360,821.9
さんま,2026,4,33951,834.2
さんま,2026,5,33239,832.2
するめいか,2023,1,156116,1154.0
するめいか,2023,2,143666,1225.2
するめいか,2023,3,247725,1073.6
するめいか,2023,4,156847,1170.2
するめいか,2023,5,121167,1212.2
するめいか,2023,6,194603,1063.0
するめいか,2023,7,151168,1285.7
するめいか,2023,8,138536,1283.9
するめいか,2023,9,172566,1192.8
するめいか,2023,10,221225,1115.0
するめいか,2023,11,122683,1386.0
するめいか,2023,12,106913,1430.0
するめいか,2024,1,88862,1404.4
するめいか,2024,2,91570,1379.1
するめいか,2024,3,93158,1462.5
するめいか,2024,4,121996,1393.6
するめいか,2024,5,86495,1490.6
するめいか,2024,6,192970,1193.8
するめいか,2024,7,206001,1184.5
するめいか,2024,8,249740,1208.7
するめいか,2024,9,164558,1267.0
するめいか,2024,10,175997,1255.3
するめいか,2024,11,122102,1380.2
するめいか,2024,12,81945,1638.7
するめいか,2025,1,122582,1425.8
するめいか,2025,2,62818,1595.4
するめいか,2025,3,110068,1417.3
するめいか,2025,4,92102,1512.2
するめいか,2025,5,150435,1375.9
するめいか,2025,6,285633,1029.7
するめいか,2025,7,329942,901.3
するめいか,2025,8,338072,915.1
するめいか,2025,9,410902,887.1
するめいか,2025,10,241915,1151.1
するめいか,2025,11,170635,1350.6
するめいか,2025,12,179969,1339.7
するめいか,2026,1,94841,1496.7
するめいか,2026,2,93252,1505.7
するめいか,2026,3,81077,1578.4
するめいか,2026,4,61264,1514.7
するめいか,2026,5,150416,1193.0
その他冷さけ,2023,1,95154,2178.9
その他冷さけ,2023,2,83102,2335.1
その他冷さけ,2023,3,120977,2080.0
その他冷さけ,2023,4,117635,1920.3
その他冷さけ,2023,5,116401,2287.8
その他冷さけ,2023,6,613713,810.0
その他冷さけ,2023,7,82972,1937.8
その他冷さけ,2023,8,227253,1211.4
その他冷さけ,2023,9,151372,1617.5
その他冷さけ,2023,10,134821,2266.8
その他冷さけ,2023,11,187947,1889.3
その他冷さけ,2023,12,178512,1845.4
その他冷さけ,2024,1,96508,1572.2
その他冷さけ,2024,2,129031,2037.5
その他冷さけ,2024,3,97627,2022.3
その他冷さけ,2024,4,147622,1912.6
その他冷さけ,2024,5,94684,1806.5
その他冷さけ,2024,6,138514,2042.9
その他冷さけ,2024,7,105856,2100.2
その他冷さけ,2024,8,149612,1602.8
その他冷さけ,2024,9,102304,1796.1
その他冷さけ,2024,10,102950,1637.1
