品目名称,月平均取扱数量,全期間平均単価,月数
いなだ,160427.0,410.43111939861694,41
かき,180152.0,1089.1212117888988,41
かつお,514759.0,788.1492493460477,41
きんめたい,163964.0,2330.1031725017324,41
さば,477093.0,586.540183316474,41
さんま,282640.0,1070.1601191724376,41
するめいか,160598.0,1211.4850126022625,41
その他冷さけ,123221.0,1835.4096028607753,41
その他冷輸入えび,188470.0,1647.3971933130242,41
はまち（養殖）,314720.0,1722.7003353891291,41
ぶり,527941.0,857.5221774525137,41
まあじ,866037.0,711.8478745390307,41
まいわし,460580.0,455.83594147993676,41
まぐろ（国内）,598920.0,3797.8988968070703,41
またい（天然）,175449.0,1022.6526592256698,41
またい（養殖）,437223.0,1220.9904463526946,41
むきかき,131517.0,2105.5324950998784,41
わらさ,816296.0,488.08317545682695,41
冷からすかれい,156864.0,1528.1835217109535,41
冷きわだ,122431.0,1100.2825911949035,41
冷ぎんさけ,1061356.0,1217.5125453535702,41
冷ぎんたら,278092.0,1481.8543271569304,41
冷さば,186355.0,885.8510691123564,41
冷たこ,199742.0,1748.8502373788683,41
冷ほたて貝,220638.0,3383.5013405691125,41
冷ほんまぐろ,335043.0,3484.132326008326,41
冷むきえび,161090.0,1492.6194834210035,41
冷めばち,988537.0,1220.217284283247,41
冷印度まぐろ,266934.0,2175.404079963349,41
活かんぱち,165286.0,2106.69081673218,41
活またい,497009.0,1280.4573909011726,41
生またら,219800.0,1049.5540068576754,41
輸入さけ・ます,301290.0,2203.2515911044998,41
