品目名称,全期間平均単価,Zスコア,価格帯
いなだ,410.43111939861694,-1.3,低価格帯
かき,1089.1212117888988,-0.49,中価格帯
かつお,788.1492493460477,-0.85,中価格帯
きんめたい,2330.1031725017324,0.98,中価格帯
さば,586.540183316474,-1.09,低価格帯
さんま,1070.1601191724376,-0.52,中価格帯
するめいか,1211.4850126022625,-0.35,中価格帯
その他冷さけ,1835.4096028607753,0.39,中価格帯
その他冷輸入えび,1647.3971933130242,0.17,中価格帯
はまち（養殖）,1722.7003353891291,0.26,中価格帯
ぶり,857.5221774525137,-0.77,中価格帯
まあじ,711.8478745390307,-0.94,中価格帯
まいわし,455.83594147993676,-1.25,低価格帯
まぐろ（国内）,3797.8988968070703,2.72,高価格帯
またい（天然）,1022.6526592256698,-0.57,中価格帯
またい（養殖）,1220.9904463526946,-0.34,中価格帯
むきかき,2105.5324950998784,0.71,中価格帯
わらさ,488.08317545682695,-1.21,低価格帯
冷からすかれい,1528.1835217109535,0.03,中価格帯
冷きわだ,1100.2825911949035,-0.48,中価格帯
冷ぎんさけ,1217.5125453535702,-0.34,中価格帯
冷ぎんたら,1481.8543271569304,-0.03,中価格帯
冷さば,885.8510691123564,-0.74,中価格帯
冷たこ,1748.8502373788683,0.29,中価格帯
冷ほたて貝,3383.5013405691125,2.23,高価格帯
冷ほんまぐろ,3484.132326008326,2.35,高価格帯
冷むきえび,1492.6194834210035,-0.02,中価格帯
冷めばち,1220.217284283247,-0.34,中価格帯
冷印度まぐろ,2175.404079963349,0.79,中価格帯
活かんぱち,2106.69081673218,0.71,中価格帯
活またい,1280.4573909011726,-0.27,中価格帯
生またら,1049.5540068576754,-0.54,中価格帯
輸入さけ・ます,2203.2515911044998,0.83,中価格帯
